cost,distance,j0
182.81353969127835,9.519722954658048,384.37334389854516
120.31308952255362,7.90570985394993,256.24759005426256
75.0023385944164,6.373836942951561,162.50087911702377
43.751456219742884,5.000059816987247,96.87443079607054
23.438253637899468,3.7500596766048004,53.12470366652047
10.938025257402204,2.5000749175878765,26.56167008083303
3.906534923585751,1.2500749175878767,10.936269129939284
0.7813460779840381,0.0007964457863803176,3.12339143873586
8.793671709840733e-07,3.714362151185924e-14,3.5174686838773574e-06
1.9395091987944832e-27,3.730349362740526e-14,5.557811501019033e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
