cost,distance,j0
185.98531604524183,9.55969463048092,390.17656655587786
122.9576273403218,7.95184290301146,260.99618914603786
77.13383075866301,6.428587442599082,166.22359598272024
45.38892630026538,5.051958917879386,99.60878706592501
24.59791396512897,3.791614871724341,55.31655998038459
11.709651234636828,2.5416148717243408,27.87469452735764
4.393577089821453,1.2916148717243408,11.68004623772689
1.0357715346615046,0.23747274917002364,3.4019351274069916
0.0737345691569822,3.8884451214471484e-14,0.29493827662790906
2.007856107622832e-27,3.730349362740526e-14,5.702576538663575e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
