n_agents,mpc_n_t,control_strategy,cvx_time_MEAN,cvx_time_STD,cvx_time_nocoup_MEAN,cvx_time_nocoup_STD,cvx_ops_MEAN,cvx_ops_STD,cvx_ops_nocoup_MEAN,cvx_ops_nocoup_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD
10,2,microcoup,0.15487746397654215,0.004324684516468105,0.15487746397654215,0.004324684516468105,0.0,0.0,0.0,0.0,222.22245124732734,5.684341886080802e-14,3.333336081628262,2.220446049250313e-15
10,2,mesocoup,0.1506365696589152,0.003618652686745857,0.1506365696589152,0.003618652686745857,0.0,0.0,0.0,0.0,22.22224512471315,1.7763568394002505e-14,3.4767936477862347,1.3322676295501878e-15
10,4,microcoup,0.2385541836420695,0.005331518224324033,0.2385541836420695,0.005331518224324033,0.0,0.0,0.0,0.0,191.6100013776314,8.526512829121202e-14,0.47619240751470737,3.3306690738754696e-16
10,4,mesocoup,0.22338716983795165,0.0027241140941739973,0.22338716983795165,0.0027241140941739973,0.0,0.0,0.0,0.0,19.161000137758037,0.0,1.1417766394211954,2.220446049250313e-16
10,8,microcoup,0.39649030367533367,0.009297445243380656,0.39649030367533367,0.009297445243380656,0.0,0.0,0.0,0.0,190.98328987683462,8.526512829121202e-14,0.010133708287522879,1.734723475976807e-18
10,8,mesocoup,0.3753325541814168,0.007469042695332215,0.3753325541814168,0.007469042695332215,0.0,0.0,0.0,0.0,19.098328987678503,7.105427357601002e-15,1.0589004833768056,4.440892098500626e-16
10,16,microcoup,0.9005114078521729,0.025337067347880434,0.9005114078521729,0.025337067347880434,0.0,0.0,0.0,0.0,190.98300562562204,2.842170943040401e-14,6.653325137541586e-06,3.3881317890172014e-21
10,16,mesocoup,0.8383728981018066,0.022540741714884786,0.8383728981018066,0.022540741714884786,0.0,0.0,0.0,0.0,19.098300562557252,1.0658141036401503e-14,1.059153463995897,4.440892098500626e-16
100,2,microcoup,5.271211083730062,0.5015114681280907,5.14066256682078,0.5051317348787885,0.0,0.0,0.0,0.0,2222.2245659997056,0.0,3.333336145859509,0.0
100,2,mesocoup,0.8436052322387695,0.0782555779410864,0.3597979148228963,0.07732729996214646,0.0,0.0,0.0,0.0,22.22224565997427,3.552713678800501e-15,3.3336786692060385,2.220446049250313e-15
100,4,microcoup,7.120211712519327,0.521466121050927,6.949861677487691,0.5203201541744433,0.0,0.0,0.0,0.0,1916.1000176627344,6.821210263296962e-13,0.4761924387193642,1.1102230246251565e-16
100,4,mesocoup,1.0101678133010865,0.05210266553527753,0.40274930000305176,0.08769633736736818,0.0,0.0,0.0,0.0,19.16100017662139,7.105427357601002e-15,0.4766032085858004,1.6653345369377348e-16
100,8,microcoup,8.998843868573507,0.550482336282615,8.744113047917685,0.5585620595817516,0.0,0.0,0.0,0.0,1909.8328988499359,6.821210263296962e-13,0.010133738999899184,0.0
100,8,mesocoup,1.8454715569814046,0.1026488921797103,0.79823370774587,0.19160739034412735,0.0,0.0,0.0,0.0,19.098328988493577,1.4210854715202004e-14,0.01953485816573187,1.3877787807814457e-17
100,16,microcoup,12.265151341756185,0.5836100693345095,11.110219256083171,0.5916176975996379,0.0,0.0,0.0,0.0,1909.8300562564052,6.821210263296962e-13,6.696724320763849e-06,3.3881317890172014e-21
100,16,mesocoup,7.885033853848776,1.3905803456677368,0.956391167640686,0.14041998832305594,0.0,0.0,0.0,0.0,19.098300562558283,3.552713678800501e-15,0.01650759968809073,1.0408340855860843e-171000,2,microcoup,31.176535638173423,2.0717266590212904,25.100837993621827,1.2684236622528242,0.0,0.0,0.0,0.0,22222.24625571399,1.0913936421275139e-11,3.3333362173452814,1.7763568394002505e-15
1000,2,mesocoup,5.856365728378296,1.4224246211112814,0.21437658468882242,0.0408240534633422,0.0,0.0,0.0,0.0,22.222246255691026,0.0,3.4282091480122685,1.3322676295501878e-15
1000,4,microcoup,109.15501050949096,10.685809196848462,35.83092909653981,3.677680300869398,0.0,0.0,0.0,0.0,19161.00021988025,1.0913936421275139e-11,0.47619247344825716,2.220446049250313e-16
1000,4,mesocoup,49.94297634760539,7.840354702963856,0.2488417148590088,0.023999713746965724,0.0,0.0,0.0,0.0,19.16100021987422,3.552713678800501e-15,0.8731059576577966,3.3306690738754696e-16
1000,8,microcoup,491.15427775382994,53.87727456253395,31.71250960826874,12.246191748596964,0.0,0.0,0.0,0.0,19098.328989406586,1.0913936421275139e-11,0.010133773172026883,5.204170427930421e-18
1000,8,mesocoup,344.18774933815,37.41260993802158,0.39008393287658694,0.05796774388471187,0.0,0.0,0.0,0.0,19.098328989400773,1.4210854715202004e-14,0.7303510592400121,2.220446049250313e-16
1000,16,microcoup,4226.9280514319735,259.2463202831403,78.83987953662873,38.85354144926174,0.0,0.0,0.0,0.0,19098.300562565328,3.637978807091713e-12,6.732253547793752e-06,0.0
1000,16,mesocoup,4029.904837322235,273.6706875255246,0.712164576848348,0.08851074360192891,0.0,0.0,0.0,0.0,19.09830056255947,3.552713678800501e-15,0.7302814681630422,2.220446049250313e-16
