microcoup,mesocoup
11.180349442188758,11.23423929832597
4.252829271891522,4.27451485027203
1.6244387733093508,1.6328228403876197
0.6204829385599305,0.916899572093066
0.23700593289405147,0.7578831531839392
0.09053075064591526,0.7318036575568478
0.034582209567412876,0.7279216007176548
0.013211768580029221,0.7273538187428478
0.005048986696216695,0.7272710684265171
0.001931082031013276,0.7272590421284201
0.0007401499113645295,0.7272573056707067
0.0002852581645203547,0.7272570592652714
0.0001115146920669236,0.7272570259662727
4.5173816407855466e-05,0.727257022120634
1.988252638237142e-05,0.727257021946349
1.0299238734562034e-05,0.7272570220686605
6.714706314015696e-06,0.7272570221429367
