n_steps,n_agents,control_strategy,solution_time_MEAN,solution_time_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD
5,10,micro,0.21194725036621093,0.02123894575285777,260.94605243065746,9.17310842365545,0.8485101890142426,0.10651415773160247
5,10,mesocoup,0.19671823978424072,0.018120949497862734,24.857612939716372,0.543200766162205,1.0396139187250737,0.1441554251970439
5,100,micro,0.459907603263855,0.010680936976719175,2592.6522341991467,33.87839982528375,0.8269650967060814,0.04384813103127851
5,100,mesocoup,0.2317654848098755,0.020126890695303642,25.1782670074165,0.31996005799092836,1.001837553554317,0.204227726303366
10,10,micro,0.4169595956802368,0.019975754765563885,217.77345609537605,0.0006953968217516221,0.006298463466128989,0.0007859203777891967
10,10,mesocoup,0.3904994010925293,0.01701976408137605,21.777326900188154,8.70687411175051e-05,0.8131224951187166,0.1989045288747987
10,100,micro,0.9935595989227295,0.03912102445392347,2177.7402943687975,0.003184719198498119,0.0067670554100191255,0.0003220619351975237
10,100,mesocoup,0.4335974931716919,0.02109151036944316,21.777302040514893,2.1024697354735325e-05,0.8093940797728276,0.35143241593216656
15,10,micro,0.628541111946106,0.021279974324541893,217.77087661791114,9.680884375918462e-08,6.974692142801213e-05,1.0153290623951078e-05
15,10,mesocoup,0.6291415929794312,0.05315921032123752,21.777087656825604,5.428346729801481e-09,0.8213744021794922,0.26041934569312275
15,100,micro,1.4407615661621094,0.06741787933017118,2177.708766160458,2.1354320305498392e-07,6.847876124841189e-05,2.1060557972294452e-06
15,100,mesocoup,0.6422444581985474,0.04024956612255612,21.777087658120912,1.3800829034572927e-09,0.8662153757183919,0.3663461226142544
20,10,micro,0.9573153495788574,0.05321099607171974,217.7708764008384,3.171412857461937e-11,1.6019513704111208e-05,6.711924688670465e-08
20,10,mesocoup,0.8425192356109619,0.04199973859904745,21.777087640081806,2.99022330906783e-12,0.8157050338140692,0.15511752152515024
20,100,micro,1.9730262279510498,0.07535242552131892,2177.708764008331,7.719769919942063e-11,1.6008286650724133e-05,1.554362283363104e-08
20,100,mesocoup,0.8574922323226929,0.04324810313753347,21.777087640081838,9.625421923282336e-13,0.826296972533615,0.36083446224579224
