cost,distance,j0
191.70760161031777,9.522248713704409,383.49452577831136
127.61862367314323,7.908285493754777,255.31656990396215
80.72073369547938,6.376417711091981,161.52078994863453
47.88893168983333,5.025390270477986,95.85718593734238
26.480835515118187,3.7571418724979004,53.04099358791214
13.029837111338324,2.503822218544147,26.13899678035238
5.185250623910148,1.2535669761260497,10.449823805496033
1.2695812864200982,0.4807677607161059,2.6184851305159276
0.18522941337492121,0.18891101268848723,0.44978138442558024
0.02702460720413054,0.08903459394324205,0.13337177208399706
0.003942837053957906,0.06795376784482085,0.08720823178365125
0.0005752521735705657,0.06435300223224809,0.08047306202287599
8.392816103458999e-05,0.0637611984449828,0.07949041399780399
1.2244953671228767e-05,0.06363292497373794,0.07934704758307731
1.7865146639913804e-06,0.06359752861237719,0.07932613070506285
2.6064897674429737e-07,0.06358595593917866,0.07932307897368834
