n_agents,mpc_n_t,control_strategy,cvx_time_MEAN,cvx_time_STD,cvx_time_nocoup_MEAN,cvx_time_nocoup_STD,cvx_ops_MEAN,cvx_ops_STD,cvx_ops_nocoup_MEAN,cvx_ops_nocoup_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD
10,16,microcoup,0.7109835783640543,0.01987528344306703,0.7109835783640543,0.01987528344306703,0.0,0.0,0.0,0.0,226.5625,0.0,0.0,0.0
10,16,mesocoup,0.8220142285029094,0.023455475431699867,0.8220142285029094,0.023455475431699867,0.0,0.0,0.0,0.0,250.7044551378329,8.526512829121202e-14,0.6622742665679485,3.3306690738754696e-16
100,16,microcoup,10.17314898967743,0.7364536909415802,8.258991360664368,0.6438682380957188,0.0,0.0,0.0,0.0,2265.625,0.0,0.0,0.0
100,16,mesocoup,1.0493042707443236,0.05525457602788798,0.8836854934692383,0.06626847718916158,0.0,0.0,0.0,0.0,2507.0445550108902,4.547473508864641e-13,0.08707598020058736,0.0
1000,16,microcoup,156.7384429057439,15.115815977006125,79.01763104597727,13.515308141458693,0.0,0.0,0.0,0.0,22656.25,0.0,0.0,0.0
1000,16,mesocoup,10.398514350255331,1.2961952276698758,0.8429471572240194,0.12169662177813662,0.0,0.0,0.0,0.0,25070.445540751025,1.2146709492692186e-09,0.08900510909788092,1.0771551412707716e-10
10,16,microcoup,0.7031818548838298,0.02068655196227458,0.7031818548838298,0.02068655196227458,0.0,0.0,0.0,0.0,226.5625,0.0,0.0,0.0
10,16,mesocoup,0.8386310895284017,0.016171490232598847,0.8386310895284017,0.016171490232598847,0.0,0.0,0.0,0.0,250.7044551378329,8.526512829121202e-14,0.6622742665679485,3.3306690738754696e-16
100,16,microcoup,10.309930332501729,0.7006931766440689,8.42416246732076,0.7257512691466734,0.0,0.0,0.0,0.0,2265.625,0.0,0.0,0.0
100,16,mesocoup,1.08053777217865,0.04484899398594831,0.8911769549051921,0.07216595468286148,0.0,0.0,0.0,0.0,2507.0445550108902,4.547473508864641e-13,0.08707598020058736,0.0
1000,16,microcoup,153.14792751471202,14.65676621993459,80.12782169977824,9.000404265204496,0.0,0.0,0.0,0.0,22656.25,0.0,0.0,0.0
1000,16,mesocoup,10.01944812933604,1.7589640491000886,0.8210255861282348,0.12061096047305296,0.0,0.0,0.0,0.0,25070.44554075125,7.275957614183426e-12,0.08900510907787866,1.3877787807814457e-17
