microcoup,mesocoup
11.057740891249708,11.057740891249708
9.467683025193109,9.494686227296732
7.942848003665632,7.895691669299628
6.515543506519602,6.38619801765181
5.024930113257822,5.057410070671715
3.7246680062284008,3.7935655912185298
2.473324360829054,2.541796704928477
1.2317087784240506,1.2939581313535122
0.25959236044024614,0.5130244675202471
0.011540573363950752,0.22513350390715817
0.0,0.12468089967129328
0.0,0.09439870609678838
0.0,0.0885557506473784
0.0,0.08744165521054609
0.0,0.08717819020619208
0.0,0.08710165769490344
0.0,0.08707598020058736
