n_agents,mpc_n_t,do_coupling,cluster_rad,control_strategy,cvx_time_MEAN,cvx_time_STD,cvx_time_nocoup_MEAN,cvx_time_nocoup_STD,cvx_ops_MEAN,cvx_ops_STD,cvx_ops_nocoup_MEAN,cvx_ops_nocoup_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD,j0_val_MEAN,j0_val_STD
100,16,False,1,microcoup,2.8569252411524455,0.49487394275948215,2.8569252411524455,0.49487394275948215,0.0,0.0,0.0,0.0,1.9453309922750148e-27,3.587324068671532e-43,3.730349362740526e-14,0.0,5.5692863934635614e-27,2.8698592549372254e-42
100,16,False,1,mesocoup,2.5273991028467813,0.4548101051853435,2.5273991028467813,0.4548101051853435,0.0,0.0,0.0,0.0,2.5545668708045186e-07,1.705728884254653e-08,0.6557301746009578,0.023337681945841595,8.248481331622608,0.5241550534038425
100,16,False,0.1,microcoup,2.866702151298523,0.3574807091021276,2.866702151298523,0.3574807091021276,0.0,0.0,0.0,0.0,1.9453309922750148e-27,3.587324068671532e-43,3.730349362740526e-14,0.0,5.5692863934635614e-27,2.8698592549372254e-42
100,16,False,0.1,mesocoup,2.6775662660598756,0.49179161165868984,2.6775662660598756,0.49179161165868984,0.0,0.0,0.0,0.0,2.6031548041114323e-07,5.645792140741963e-09,0.20741458975124777,0.00589947795320239,0.8275082212964284,0.03973569782020856
100,16,False,0.01,microcoup,2.536507566769918,0.37207843962141374,2.536507566769918,0.37207843962141374,0.0,0.0,0.0,0.0,1.9453309922750148e-27,3.587324068671532e-43,3.730349362740526e-14,0.0,5.5692863934635614e-27,2.8698592549372254e-42
100,16,False,0.01,mesocoup,2.3875364780426027,0.41330867308142477,2.3875364780426027,0.41330867308142477,0.0,0.0,0.0,0.0,2.600804097543628e-07,2.3150867798741302e-09,0.06562156116457292,0.0023743769440123614,0.08297441066667245,0.004853945433420624
100,16,False,0.001,microcoup,2.810384917259216,0.5337051262666433,2.810384917259216,0.5337051262666433,0.0,0.0,0.0,0.0,1.9453309922750148e-27,3.587324068671532e-43,3.730349362740526e-14,0.0,5.5692863934635614e-27,2.8698592549372254e-42
100,16,False,0.001,mesocoup,2.5743239164352416,0.4626127867830641,2.5743239164352416,0.4626127867830641,0.0,0.0,0.0,0.0,2.5972970379039073e-07,6.022463226419877e-10,0.020863908068538013,0.000596703583361522,0.008356838880953937,0.000392122336449189
100,16,False,0.0001,microcoup,2.6178866465886435,0.4346519511259853,2.6178866465886435,0.4346519511259853,0.0,0.0,0.0,0.0,1.9453309922750148e-27,3.587324068671532e-43,3.730349362740526e-14,0.0,5.5692863934635614e-27,2.8698592549372254e-42
100,16,False,0.0001,mesocoup,2.548406974474589,0.5061675483807421,2.548406974474589,0.5061675483807421,0.0,0.0,0.0,0.0,2.596171445540294e-07,1.869753699292033e-10,0.006628213612026977,0.00029344256749804773,0.0008424611382895006,5.771540756500354e-05
100,16,False,1e-05,microcoup,2.5118294318517047,0.36585767673619535,2.5118294318517047,0.36585767673619535,0.0,0.0,0.0,0.0,1.9453309922750148e-27,3.587324068671532e-43,3.730349362740526e-14,0.0,5.5692863934635614e-27,2.8698592549372254e-42
100,16,False,1e-05,mesocoup,2.5422913312911986,0.4344816766854772,2.5422913312911986,0.4344816766854772,0.0,0.0,0.0,0.0,2.596222878363686e-07,7.29919720191285e-11,0.0021107376547020414,8.337570685884791e-05,8.544980116881109e-05,5.217798043487792e-06
