n_agents,mpc_n_t,rad_max,control_strategy,cvx_time_MEAN,cvx_time_STD,cvx_time_nocoup_MEAN,cvx_time_nocoup_STD,cvx_ops_MEAN,cvx_ops_STD,cvx_ops_nocoup_MEAN,cvx_ops_nocoup_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD
100,16,5,microcoup,10.488988169034322,0.8264754039511989,10.488988169034322,0.8264754039511989,0.0,0.0,0.0,0.0,0.0022466610652266744,8.673617379884035e-19,3.739231146937527e-14,6.310887241768095e-30
100,16,5,mesocoup,0.9029624621073405,0.030632392557746482,0.9029624621073405,0.030632392557746482,0.0,0.0,0.0,0.0,0.0021000653495698417,1.734723475976807e-18,1.0097389548180937,2.220446049250313e-16
100,16,4,microcoup,10.645668156941731,0.7643187670141232,10.645668156941731,0.7643187670141232,0.0,0.0,0.0,0.0,0.0022466610652266744,8.673617379884035e-19,3.739231146937527e-14,6.310887241768095e-30
100,16,4,mesocoup,0.9071895281473795,0.03308531351836106,0.9071895281473795,0.03308531351836106,0.0,0.0,0.0,0.0,0.0021000653495698417,1.734723475976807e-18,1.0097389548180937,2.220446049250313e-16
100,16,3,microcoup,10.25997302532196,0.7928650738965383,10.25997302532196,0.7928650738965383,0.0,0.0,0.0,0.0,0.0022466610652266744,8.673617379884035e-19,3.739231146937527e-14,6.310887241768095e-30
100,16,3,mesocoup,0.8989851395289103,0.03731677593940833,0.8989851395289103,0.03731677593940833,0.0,0.0,0.0,0.0,0.0021000653495698417,1.734723475976807e-18,1.0097389548180937,2.220446049250313e-16
100,16,2,microcoup,10.527814467748007,0.8158862813930903,5.746311990420024,0.9047592093575242,0.0,0.0,0.0,0.0,0.0022466610652266744,8.673617379884035e-19,3.739231146937527e-14,6.310887241768095e-30
100,16,2,mesocoup,1.2244433244069417,0.098154105456885,1.0153077363967895,0.10890594151953292,0.0,0.0,0.0,0.0,0.0024339142911868335,4.554902210567465e-06,0.1807457896053064,3.979979733231028e-05
100,16,1,microcoup,10.792077962557475,0.7462713037692543,2.931228439013163,0.658909689433028,0.0,0.0,0.0,0.0,0.0022466643237021174,1.2393463136163578e-18,3.739231146937527e-14,6.310887241768095e-30
100,16,1,mesocoup,1.578714100519816,0.11648945360520625,0.8819124380747477,0.11057931487500738,0.0,0.0,0.0,0.0,0.002206369855220572,9.455184461302864e-07,0.019870414925728493,4.714308009794526e-06
100,16,0.5,microcoup,10.809996271133423,0.84971826569045,0.88837095896403,0.2927531700910053,0.0,0.0,0.0,0.0,0.004252251915895857,2.6020852139652106e-18,3.739231146937527e-14,6.310887241768095e-30
100,16,0.5,mesocoup,1.6338372389475504,0.10199081978245353,0.8764683087666829,0.10326638735483942,0.0,0.0,0.0,0.0,0.0022062483828905045,1.0396099932153023e-06,0.019869806466939786,5.179954797386644e-06
100,16,0.25,microcoup,11.19316258430481,0.9387945828635025,0.4089569807052612,0.1922995431277762,0.0,0.0,0.0,0.0,0.041452618248240945,0.0,3.91153776035935e-14,1.262177448353619e-29
100,16,0.25,mesocoup,1.666506306330363,0.11180259161644814,0.8919626553853353,0.0969626515056321,0.0,0.0,0.0,0.0,0.00220640564333271,9.861658567008827e-07,0.019870596939316417,4.901985574997616e-06
