microcoup,mesocoup
11.196717646751472,11.196717646751472
10.158775135585692,9.5289446452241
9.035755931666127,7.906664384925846
7.6598104284060735,6.40413399763597
6.260913904612139,5.083267896043586
4.983385360939961,3.820493139499159
3.9261060395227743,2.5680918958802788
3.0051543842565396,1.3176195364209262
1.9672704808367734,0.5033059287066388
0.9669128822433556,0.19228585639327492
0.09150656058542898,0.07351387171504703
0.0,0.028162331182376092
0.0,0.0108456789215833
0.0,0.004236851219161065
0.0,0.0017202411510399312
0.0,0.0007739317632300119
0.0,0.000437212007152607
