cost,distance
192.70931388044968,9.543278541919252
128.39846872031453,7.930006452516564
81.30738468093371,6.3989116844776985
48.311061775245,5.048341234502227
26.766373126809285,3.7806977151486825
13.207804625166144,2.528504004655447
5.282704820490204,1.2815501361628878
1.3132921698869704,0.506629943502428
0.19160674532623023,0.24524023002035877
0.027955047396399587,0.19117311525150987
0.0040785864485321476,0.18227273396501453
0.0005950577433216217,0.18093747996414097
8.681775471858534e-05,0.18066272142907322
1.2666539708036807e-05,0.18059160523314463
1.8480232378309713e-06,0.18056941200378984
2.6962295672542626e-07,0.18056166361757453
