cost,distance,j0
188.7896602626425,9.628859910924776,395.94502393285853
124.97061353039282,8.015481792281319,265.1819304683592
78.50560168769282,6.4826956650042495,169.1269067829592
46.26962473454248,5.0936242206497,101.52995287665853
25.137682670941803,3.830371280974398,56.46131403968815
12.034462360218903,2.5803712809743975,28.56312718666565
4.565079266502356,1.330371280974397,12.06186099923255
1.1024102740038024,0.2670829265333078,3.574023014235446
0.08395538272324685,3.0553337637684308e-15,0.33582153089298605
3.338459350895322e-29,3.552713678800501e-15,7.86587736123282e-29
3.470987982972452e-29,3.552713678800501e-15,8.111354820731649e-29
3.470987982972452e-29,3.552713678800501e-15,8.111354820731649e-29
3.470987982972452e-29,3.552713678800501e-15,8.111354820731649e-29
3.470987982972452e-29,3.552713678800501e-15,8.111354820731649e-29
3.470987982972452e-29,3.552713678800501e-15,8.111354820731649e-29
3.470987982972452e-29,3.552713678800501e-15,8.111354820731649e-29
