cost,distance,j0
182.8985115324227,9.5158051722348,384.2361288099729
120.45101923519672,7.904450768660072,256.21614421552084
75.1638858014075,6.37654635704124,162.51687734794245
43.91211123105505,5.007370672019504,96.88832820723755
23.57069552413936,3.7563280249174213,53.27499419215877
11.023023820029069,2.5063280249174222,26.60665685221793
3.957259112925683,1.256328024917422,10.912627438011164
0.8056544369690749,0.06571203098394456,3.0469180860979477
0.005709792159245572,3.7623237858497304e-14,0.022839168636977256
1.9576056679602537e-27,3.730349362740526e-14,5.594760539770554e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
1.9453309922750144e-27,3.730349362740526e-14,5.5692863934635585e-27
