n_steps,n_agents,control_strategy,cvx_time_MEAN,cvx_time_STD,cvx_time_nocoup_MEAN,cvx_time_nocoup_STD,cvx_ops_MEAN,cvx_ops_STD,cvx_ops_nocoup_MEAN,cvx_ops_nocoup_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD,j0_val_MEAN,j0_val_STD
5,10,micro,0.4693350433354984,0.09365807974428685,0.4693350433354984,0.09365807974428685,0.0,0.0,0.0,0.0,28.92259399976495,2.9558342222358265,3.829695084695949,0.19904780459387578,57.8451879995299,5.911668444471652
5,10,mesocoup,0.7086576466659608,0.14835899138880876,0.7086576466659608,0.14835899138880876,0.0,0.0,0.0,0.0,28.450283578661885,3.982044511847701,3.8593629324576435,0.2606083599276523,65.77184127694214,8.045197281105516
