cost,distance
311.293977447538,10.158752256678122
232.31950721178092,9.035686522347914
153.9870430467895,7.659815630396806
106.6856420581021,6.2608525385564935
75.22141806331905,4.983089823566022
255.1241568429053,3.926191241294035
42.073853163829774,3.0051892817959085
28.844016595858342,1.7551892817959078
24.327030032522845,0.5051892817959079
22.785280071432236,0.00018282592753893212
22.656266712586508,3.6407797310289427e-10
22.656249999999982,3.6406433423508133e-10
22.656249999999982,3.6406433423508133e-10
22.656249999999982,3.6406433423508133e-10
22.656249999999982,3.6406433423508133e-10
22.656249999999982,3.6406433423508133e-10
