n_agents,mpc_n_t,control_strategy,cvx_time_MEAN,cvx_time_STD,cvx_time_nocoup_MEAN,cvx_time_nocoup_STD,cvx_ops_MEAN,cvx_ops_STD,cvx_ops_nocoup_MEAN,cvx_ops_nocoup_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD
10,16,microcoup,0.710983578,0.019875283,0.710983578,0.019875283,0,0,0,0,226.5625,0,0,0
10,16,mesocoup,0.822014229,0.023455475,0.822014229,0.023455475,0,0,0,0,250.7044551,8.53E-14,0.662274267,3.33E-16
100,16,microcoup,10.17314899,0.736453691,8.258991361,0.643868238,0,0,0,0,2265.625,0,0,0
100,16,mesocoup,1.049304271,0.055254576,0.883685493,0.066268477,0,0,0,0,2507.044555,4.55E-13,0.08707598,0
1000,16,microcoup,156.7384429,15.11581598,79.01763105,13.51530814,0,0,0,0,22656.25,0,0,0
1000,16,mesocoup,10.39851435,1.296195228,0.842947157,0.121696622,0,0,0,0,25070.44554,1.21E-09,0.089005109,1.08E-10
