cost,distance
292.8774469104467,10.085772395363513
232.26639925701,9.14266455611962
182.58270395774213,8.228386898082825
141.46832466205782,7.333372341881492
107.36604306820219,6.455272588194803
79.98368413752888,5.626303108494709
58.599292346411865,4.8780274980361105
41.78420232611789,4.184217383312179
37.89551520184596,3.6708128045642066
23.126438873279042,3.111578889030753
14.082282701441697,2.49460481156014
8.184496977321897,1.888644485716668
4.288213142121023,1.3230163927717644
2.690651542407018,0.8234488815794172
0.5595517522065008,0.28716684645990725
0.041452618248240945,3.9115377603593514e-14
