cost,distance,j0
191.57327756876754,9.519387088286072,383.1466366351336
127.514249774402,7.905340131305417,255.02858104640265
80.64238595194321,6.373388002730458,161.28485340148512
47.83268611384126,5.022327100078296,95.6654537252812
26.44291442504692,3.7540083658736676,52.88591034769249
13.006232636846486,2.5005456571832947,26.01254677129165
5.172341043162472,1.249858834658118,10.344763583923607
1.2638012158890435,0.47740618326228895,2.527683929376738
0.1843861124495036,0.1823597138412771,0.3688537224976605
0.0269015712572521,0.06967294888525888,0.05388464011315713
0.003924886351227935,0.02665905927611048,0.007931270301108333
0.0005726332013376754,0.010303579377297232,0.0012267640013279165
8.35460581353828e-05,0.004244724784597554,0.00024858971492318165
1.2189205609528938e-05,0.0023842926794922573,0.00010587600987156566
1.7783811314063002e-06,0.0020581946906514316,8.505436091533083e-05
2.594623103320711e-07,0.0020188950244434106,8.201652327317594e-05
