cost,distance
192.99160676107417,9.462323331413666
133.03531630638358,7.937417535676086
88.77972613792355,6.496323455996944
45.636902427755764,5.01423866772988
24.322065840360075,3.7232350066605684
11.525519005022797,2.472792597127477
4.367771888505552,1.2327860826651917
1.0838949065605425,0.26532178700798376
0.11425280991854173,0.009048398568896035
0.0018551951532698677,2.4868995751603507e-14
8.188726801040866e-28,2.4868995751603507e-14
8.1883761961941e-28,2.4868995751603507e-14
8.1883761961941e-28,2.4868995751603507e-14
8.1883761961941e-28,2.4868995751603507e-14
8.1883761961941e-28,2.4868995751603507e-14
8.1883761961941e-28,2.4868995751603507e-14
