cost,distance
292.8774469104467,10.085772395363513
232.26639925701,9.14266455611962
182.58270395774213,8.228386898082825
141.46832466205782,7.333372341881492
107.36604306820219,6.455272588194803
79.98368413752888,5.626303108494709
58.599292346411865,4.8780274980361105
32.30038735500733,4.0602441500042
20.235299336215107,3.304177137291477
11.820053731805245,2.5541208090699636
6.187536862823446,1.8081149460539074
2.7519973371778965,1.0656149460539077
0.9515960748471467,0.3864993693883269
0.22884352205682693,0.09019900474284594
0.03420468974115775,0.011540573363986884
0.0022466610652266735,3.7392311469375274e-14
