cost,distance
216.71594254607533,9.467683025193109
156.9517008886874,7.942848003665632
112.49294246060693,6.515543506519602
68.4327362673338,5.024930113257822
47.007973810966384,3.7246680062284008
34.170924454485466,2.4733243608290545
27.016145473063418,1.2317087784240517
23.738064529136466,0.2595923604402697
22.773002977826813,0.011540573363987878
22.658496661065225,3.7392311469375274e-14
22.65625,3.730349362740526e-14
22.65625,3.730349362740526e-14
22.65625,3.730349362740526e-14
22.65625,3.730349362740526e-14
22.65625,3.730349362740526e-14
22.65625,3.730349362740526e-14
