cost,distance
184.03212014226196,9.543278541919252
121.26523095430903,7.930006452516564
75.71810290225821,6.3989116844776985
44.26573598610944,5.024737621175637
23.783130205862754,3.7737957724647995
11.150029276591193,2.523795772464799
4.020156586859093,1.2737957724647986
0.8262786127079914,0.0691631851524742
0.005895354137889078,3.7623237858497304e-14
1.957605667960254e-27,3.730349362740526e-14
1.945330992275015e-27,3.730349362740526e-14
1.945330992275015e-27,3.730349362740526e-14
1.945330992275015e-27,3.730349362740526e-14
1.945330992275015e-27,3.730349362740526e-14
1.945330992275015e-27,3.730349362740526e-14
1.945330992275015e-27,3.730349362740526e-14
