cost,distance
195.57006625114192,9.611066159425002
130.6266489602382,8.001517368811706
82.98479199253862,6.475249841834105
49.51949536223961,5.129618931471421
27.585140503218483,3.869396786844664
13.720024271000685,2.631489178760699
5.5649188483033045,1.4266812590210924
1.441083213150549,0.7810567043863408
0.21025120726929214,0.6616062906577362
0.030675237734225567,0.6423432179306129
0.004475456870247878,0.6393043739177853
0.0006529603575036046,0.6386395274469707
9.526563227669929e-05,0.6384578343927514
1.3899068433139023e-05,0.6383990502373383
2.0278467553605347e-06,0.6383781519058649
2.9585885435370897e-07,0.6383703967624071
